City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
138,Menongue,AO,2022-08-09 23:37:56,-14.6585,17.691,53.62,27,0,3.69
139,Nizhniy Tsasuchey,RU,2022-08-09 23:37:56,50.5167,115.1333,61.61,46,0,13.22
140,Provideniya,RU,2022-08-09 23:37:56,64.3833,-173.3,50.36,81,75,17.9
141,Fecamp,FR,2022-08-09 23:34:45,49.7579,0.3746,65.91,90,30,13.85
142,Hami,CN,2022-08-09 23:38:57,42.8,93.45,87.03,26,14,10.22
143,Bambanglipuro,ID,2022-08-09 23:38:57,-7.95,110.2833,77.18,85,96,9.06
144,Airai,TL,2022-08-09 23:38:58,-8.9266,125.4092,66.96,60,6,3.98
145,Rocha,UY,2022-08-09 23:38:27,-34.4833,-54.3333,43.68,93,5,4.14
146,Ardabil,IR,2022-08-09 23:38:58,38.2498,48.2933,53.15,87,0,4.61
147,Touros,BR,2022-08-09 23:38:58,-5.1989,-35.4608,75.42,80,21,14.25
148,Tambura,SS,2022-08-09 23:38:59,5.6,27.4667,68.29,96,100,2.62
149,Kaitangata,NZ,2022-08-09 23:38:59,-46.2817,169.8464,42.71,59,11,7.18
150,Yelizovo,RU,2022-08-09 23:38:59,53.1873,158.3805,55.54,100,100,8.99
151,The Valley,AI,2022-08-09 23:37:12,18.217,-63.0578,84.06,78,40,12.66
152,Dergachi,RU,2022-08-09 23:39:04,51.2328,48.7659,72.1,56,15,7.81
153,Riverton,US,2022-08-09 23:37:47,40.5219,-111.9391,98.11,17,0,9.22
154,Ialibu,PG,2022-08-09 23:39:04,-6.2821,143.9935,67.75,58,62,3.33
155,Bom Jesus,BR,2022-08-09 23:39:05,-9.0744,-44.3586,73.04,25,2,3.58
156,Moroni,KM,2022-08-09 23:39:05,-11.7022,43.2551,75.78,67,55,2.66
157,Gazanjyk,TM,2022-08-09 23:39:05,39.2446,55.5154,84.58,26,27,7.7
158,Mecca,SA,2022-08-09 23:39:06,21.4267,39.8261,90.72,54,79,11.63
159,Honningsvag,NO,2022-08-09 23:39:06,70.9821,25.9704,51.55,82,99,6.91
160,Hasaki,JP,2022-08-09 23:39:07,35.7333,140.8333,88.29,82,97,23.44
161,Marzuq,YE,2022-08-09 23:39:07,14.4,46.4667,76.62,63,99,15.68
162,Helsinki,FI,2022-08-09 23:38:19,60.1695,24.9355,59.77,75,0,4.0
163,Olinda,BR,2022-08-09 23:39:07,-8.0089,-34.8553,76.73,73,20,10.36
164,Gravdal,NO,2022-08-09 23:39:08,68.1214,13.5031,53.13,90,100,21.94
165,Dunedin,NZ,2022-08-09 23:39:08,-45.8742,170.5036,44.8,54,4,5.99
166,Lixourion,GR,2022-08-09 23:39:08,38.2019,20.4314,77.16,82,5,8.93
167,Zyryanka,RU,2022-08-09 23:39:09,65.75,150.85,76.66,47,8,9.24
168,Kununurra,AU,2022-08-09 23:39:09,-15.7667,128.7333,69.78,83,20,4.61
169,Castro,BR,2022-08-09 23:39:09,-24.7911,-50.0119,56.23,95,100,7.83
170,Kokopo,PG,2022-08-09 23:39:10,-4.352,152.2633,84.04,63,79,2.53
171,Margate,GB,2022-08-09 23:39:10,51.3813,1.3862,65.88,86,22,5.99
172,Nagato,JP,2022-08-09 23:39:10,34.3833,131.2,84.72,74,80,7.14
173,Rizhao,CN,2022-08-09 23:39:11,35.4275,119.4553,71.13,93,100,7.0
174,Shimoda,JP,2022-08-09 23:39:11,34.6667,138.95,88.11,81,79,12.37
175,Zhelyabovka,UA,2022-08-09 23:39:11,45.3988,34.7578,74.01,64,83,8.52
176,Namibe,AO,2022-08-09 23:39:12,-15.1961,12.1522,62.71,88,64,4.43
177,Mahajanga,MG,2022-08-09 23:39:12,-15.7167,46.3167,66.22,68,0,3.44
178,Thompson,CA,2022-08-09 23:39:13,55.7435,-97.8558,59.16,82,75,9.22
179,Sijunjung,ID,2022-08-09 23:39:13,-0.6876,100.9537,70.77,97,64,1.7
180,Rodrigues Alves,BR,2022-08-09 23:39:14,-7.738,-72.6509,73.6,89,77,2.82
181,Kodinsk,RU,2022-08-09 23:39:14,58.6881,99.1844,57.58,96,100,2.73
182,Palmer,US,2022-08-09 23:39:15,42.1584,-72.3287,87.35,51,40,10.36
183,Vilhena,BR,2022-08-09 23:38:01,-12.7406,-60.1458,62.82,94,100,17.27
184,Macapa,BR,2022-08-09 23:39:15,0.0389,-51.0664,84.18,79,20,8.05
185,San Cristobal,VE,2022-08-09 23:39:16,7.7669,-72.225,78.98,91,66,3.31
186,College,US,2022-08-09 23:34:17,64.8569,-147.8028,53.08,67,100,12.66
187,Arraial Do Cabo,BR,2022-08-09 23:35:24,-22.9661,-42.0278,70.36,93,99,13.31
188,Bilma,NE,2022-08-09 23:38:27,18.6853,12.9164,93.07,30,18,10.22
189,Shirokiy,RU,2022-08-09 23:40:17,49.758,129.523,55.71,79,100,10.33
190,Kavaratti,IN,2022-08-09 23:40:17,10.5669,72.642,80.46,82,88,19.1
191,Narsaq,GL,2022-08-09 23:40:18,60.9167,-46.05,50.22,80,40,2.24
192,Kamaishi,JP,2022-08-09 23:40:18,39.2667,141.8833,76.66,86,76,5.21
193,Necochea,AR,2022-08-09 23:40:18,-38.5473,-58.7368,45.0,68,6,7.96
194,Corn Island,NI,2022-08-09 23:40:19,12.1694,-83.0418,81.64,82,100,13.33
195,Povoa De Varzim,PT,2022-08-09 23:40:19,41.3834,-8.7636,73.24,100,75,0.0
196,Tautira,PF,2022-08-09 23:40:19,-17.7333,-149.15,72.91,85,100,13.58
197,Nikolskoye,RU,2022-08-09 23:40:20,59.7035,30.7861,54.88,80,28,0.94
198,Algeciras,ES,2022-08-09 23:40:20,36.1333,-5.4505,76.68,88,40,9.22
199,Dikson,RU,2022-08-09 23:37:07,73.5069,80.5464,39.85,88,100,19.39
200,Ust-Uda,RU,2022-08-09 23:40:20,54.1742,103.0304,60.08,67,63,2.75
201,Bogalusa,US,2022-08-09 23:40:21,30.791,-89.8487,83.95,78,0,0.0
202,Takaungu,KE,2022-08-09 23:40:21,-3.6837,39.8566,73.89,87,50,14.34
203,Zhezkazgan,KZ,2022-08-09 23:40:21,47.8043,67.7144,62.53,64,20,8.86
204,Simpsonville,US,2022-08-09 23:40:22,34.7371,-82.2543,84.72,67,0,11.5
